"Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG"
"383,Eddie Nketiah,eng ENG,""FW,MF"",Crystal Palace,25,1999,29,9,1034,11.5,3,1,4,3,0,0,6,1,5.8,5.8,1.7,7.4,41,19,79,0.26,0.09,0.35,0.26,0.35,0.50,0.15,0.65,0.50,0.65"
"384,Christopher Nkunku,fr FRA,FW,Chelsea,26,1997,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.20,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67"
"385,Gustavo Nunes,br BRA,""FW,MF"",Brentford,18,2005,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"386,Matheus Nunes,pt POR,""DF,MF"",Manchester City,25,1998,26,19,1674,18.6,1,6,7,1,0,0,4,0,1.2,1.2,4.4,5.6,63,79,175,0.05,0.32,0.38,0.05,0.38,0.07,0.23,0.30,0.07,0.30"
"387,Darwin NÃºÃ±ez,uy URU,FW,Liverpool,25,1999,30,8,1133,12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,0.40,0.16,0.56,0.40,0.56,0.46,0.10,0.57,0.46,0.57"
"388,Ethan Nwaneri,eng ENG,""FW,MF"",Arsenal,17,2007,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.40,0.20,0.60,0.40,0.60,0.12,0.12,0.24,0.12,0.24"
"389,Christian NÃ¸rgaard,dk DEN,MF,Brentford,30,1994,34,34,2819,31.3,5,4,9,5,0,0,8,1,4.3,4.3,1.3,5.6,14,154,42,0.16,0.13,0.29,0.16,0.29,0.14,0.04,0.18,0.14,0.18"
"390,Jake O'Brien,ie IRL,DF,Everton,23,2001,20,17,1571,17.5,2,0,2,2,0,0,5,0,0.8,0.8,0.6,1.3,7,50,25,0.11,0.00,0.11,0.11,0.11,0.04,0.03,0.08,0.04,0.08"
"391,Matt O'Riley,dk DEN,MF,Brighton,23,2000,21,11,938,10.4,2,2,4,1,1,1,1,0,2.8,2.0,2.4,4.4,22,38,52,0.19,0.19,0.38,0.10,0.29,0.27,0.23,0.50,0.20,0.42"
"392,Dara O'Shea,ie IRL,DF,Ipswich Town,25,1999,35,35,3122,34.7,0,2,2,0,0,0,6,0,1.3,1.3,0.5,1.8,3,80,8,0.00,0.06,0.06,0.00,0.06,0.04,0.01,0.05,0.04,0.05"
"393,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,16,2007,7,1,165,1.8,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,2,1,12,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36"
"394,Wilson Odobert,fr FRA,""FW,MF"",Tottenham,19,2004,16,9,850,9.4,1,0,1,1,0,0,0,0,1.6,1.6,1.0,2.6,45,27,66,0.11,0.00,0.11,0.11,0.11,0.17,0.10,0.27,0.17,0.27"
"395,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03"
"396,Caleb Okoli,it ITA,DF,Leicester City,23,2001,19,12,1125,12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05"
"397,Robin Olsen,se SWE,GK,Aston Villa,34,1990,4,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"398,Amadou Onana,be BEL,MF,Aston Villa,22,2001,26,20,1617,18.0,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,0.17,0.00,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16"
"399,AndrÃ© Onana,cm CMR,GK,Manchester Utd,28,1996,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"400,Paul Onuachu,ng NGA,FW,Southampton,30,1994,25,11,1050,11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35"
"401,Frank Onyeka,ng NGA,MF,Brentford,26,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"402,Lewis Orford,eng ENG,MF,West Ham,18,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09"
"403,Stefan Ortega,de GER,GK,Manchester City,31,1992,13,12,1100,12.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"404,William Osula,dk DEN,FW,Newcastle Utd,20,2003,14,0,134,1.5,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,5,4,17,0.67,0.00,0.67,0.67,0.67,0.11,0.10,0.21,0.11,0.21"
"405,Dango Ouattara,bf BFA,FW,Bournemouth,22,2002,32,21,2005,22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62"
"406,Nico Oâ€™Reilly,eng ENG,DF,Manchester City,19,2005,9,6,528,5.9,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,26,0.34,0.00,0.34,0.34,0.34,0.22,0.06,0.28,0.22,0.28"
"407,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"408,Cole Palmer,eng ENG,""MF,FW"",Chelsea,22,2002,37,36,3191,35.5,15,8,23,11,4,5,7,0,17.3,13.3,10.9,24.2,120,214,187,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68"
"409,Emerson Palmieri,it ITA,DF,West Ham,29,1994,31,26,2113,23.5,2,1,3,2,0,0,5,0,2.0,2.0,1.5,3.4,47,66,83,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15"
"410,Lucas PaquetÃ¡,br BRA,""MF,FW"",West Ham,26,1997,33,27,2380,26.4,4,0,4,2,2,2,10,0,5.3,3.7,3.1,6.8,26,155,85,0.15,0.00,0.15,0.08,0.08,0.20,0.12,0.32,0.14,0.26"
"411,Thomas Partey,gh GHA,""MF,DF"",Arsenal,31,1993,35,31,2797,31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14"
"412,Nathan Patterson,sct SCO,DF,Everton,22,2001,10,3,347,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,6,13,18,0.00,0.26,0.26,0.00,0.26,0.02,0.11,0.13,0.02,0.13"
"413,Andreas Pereira,br BRA,MF,Fulham,28,1996,33,25,2013,22.4,2,4,6,2,0,1,7,0,3.8,3.0,4.6,7.6,29,104,81,0.09,0.18,0.27,0.09,0.27,0.17,0.21,0.38,0.14,0.34"
"414,Ricardo Pereira,pt POR,DF,Leicester City,30,1993,10,4,388,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,18,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02"
"415,Kalvin Phillips,eng ENG,MF,Ipswich Town,28,1995,19,14,1237,13.7,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.7,4,51,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05"
"416,Jaden Philogene Bidace,eng ENG,""FW,MF"",Aston Villa,22,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20"
"417,Jaden Philogene Bidace,eng ENG,""FW,DF"",Ipswich Town,22,2002,10,5,474,5.3,2,0,2,2,0,0,1,0,2.0,2.0,0.2,2.2,13,10,36,0.38,0.00,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42"
"418,Jordan Pickford,eng ENG,GK,Everton,30,1994,38,38,3420,38.0,0,1,1,0,0,0,7,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01"
"419,Ethan Pinnock,jm JAM,DF,Brentford,31,1993,22,21,1913,21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11"
"420,Daniel Podence,pt POR,""MF,FW"",Wolves,28,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07"
"421,Alfie Pond,eng ENG,DF,Wolves,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"422,Nick Pope,eng ENG,GK,Newcastle Utd,32,1992,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"423,Pedro Porro,es ESP,DF,Tottenham,24,1999,33,28,2610,29.0,2,6,8,2,0,0,5,0,1.6,1.6,5.0,6.6,65,154,109,0.07,0.21,0.28,0.07,0.28,0.05,0.17,0.23,0.05,0.23"
"424,Jarell Quansah,eng ENG,DF,Liverpool,21,2003,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04"
"425,HÃ¡kon Rafn Valdimarsson,is ISL,GK,Brentford,22,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"426,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"427,Jacob Ramsey,eng ENG,""FW,MF"",Aston Villa,23,2001,29,19,1623,18.0,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22"
"428,Marcus Rashford,eng ENG,""FW,MF"",Manchester Utd,26,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35"
"429,Marcus Rashford,eng ENG,FW,Aston Villa,26,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.20,0.61,0.62,0.46,1.08,0.46,0.92"
"430,David Raya,es ESP,GK,Arsenal,28,1995,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"431,Harrison Reed,eng ENG,MF,Fulham,29,1995,12,0,108,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0.00,0.00,0.00,0.00,0.00,0.21,0.07,0.27,0.21,0.27"
"432,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"433,Sergio ReguilÃ³n,es ESP,DF,Tottenham,27,1996,4,1,196,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,5,13,12,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07"
"434,Vitor Reis,br BRA,DF,Manchester City,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"435,Chadi Riad,ma MAR,DF,Crystal Palace,21,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"436,Declan Rice,eng ENG,MF,Arsenal,25,1999,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32"
"437,Chris Richards,us USA,DF,Crystal Palace,24,2000,24,22,1922,21.4,1,0,1,1,0,0,4,1,1.4,1.4,0.1,1.5,6,39,2,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.07,0.06,0.07"
"438,Richarlison,br BRA,FW,Tottenham,27,1997,15,4,504,5.6,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.71,0.18,0.89,0.71,0.89,0.66,0.16,0.82,0.66,0.82"
"439,Andrew Robertson,sct SCO,DF,Liverpool,30,1994,33,29,2482,27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0.00,0.04,0.04,0.00,0.04,0.04,0.17,0.21,0.04,0.21"
"440,Antonee Robinson,us USA,DF,Fulham,26,1997,36,35,3167,35.2,0,10,10,0,0,0,8,0,0.7,0.7,4.2,4.9,118,131,274,0.00,0.28,0.28,0.00,0.28,0.02,0.12,0.14,0.02,0.14"
"441,Jay Robinson,eng ENG,""MF,FW"",Southampton,17,2007,4,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,3,1,10,0.00,0.00,0.00,0.00,0.00,0.03,0.44,0.47,0.03,0.47"
"442,Rodri,es ESP,MF,Manchester City,28,1996,3,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06"
"443,Guido RodrÃ­guez,ar ARG,MF,West Ham,30,1994,23,16,1149,12.8,0,1,1,0,0,0,6,0,0.2,0.2,0.2,0.4,4,33,7,0.00,0.08,0.08,0.00,0.08,0.02,0.01,0.03,0.02,0.03"
"444,Mads Roerslev,dk DEN,DF,Brentford,25,1999,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26"
"445,Morgan Rogers,eng ENG,""FW,MF"",Aston Villa,22,2002,37,37,3114,34.6,8,10,18,8,0,0,10,0,6.6,6.6,7.8,14.4,114,123,188,0.23,0.29,0.52,0.23,0.52,0.19,0.23,0.42,0.19,0.42"
"446,Cristian Romero,ar ARG,DF,Tottenham,26,1998,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.00,0.06,0.06,0.06,0.10,0.04,0.14,0.10,0.14"
"447,Georginio Rutter,fr FRA,""MF,FW"",Brighton,22,2002,28,19,1656,18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39"
"448,JosÃ© SÃ¡,pt POR,GK,Wolves,31,1993,29,29,2609,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01"
"449,Bukayo Saka,eng ENG,""FW,MF"",Arsenal,22,2001,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.40,0.75,0.31,0.71"
"450,Mohamed Salah,eg EGY,FW,Liverpool,32,1992,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,155,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87"
"451,William Saliba,fr FRA,DF,Arsenal,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09"
"452,Robert SÃ¡nchez,es ESP,GK,Chelsea,26,1997,32,32,2880,32.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"453,Jadon Sancho,eng ENG,FW,Chelsea,24,2000,31,19,1764,19.6,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,102,90,225,0.15,0.20,0.36,0.15,0.36,0.11,0.19,0.30,0.11,0.30"
"454,Ibrahim SangarÃ©,ci CIV,MF,Nott'ham Forest,26,1997,13,7,590,6.6,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,1,27,4,0.00,0.15,0.15,0.00,0.15,0.00,0.06,0.06,0.00,0.06"
"455,Pablo Sarabia,es ESP,""MF,FW"",Wolves,32,1992,23,7,814,9.0,3,2,5,3,0,0,3,0,2.9,2.9,1.8,4.6,15,60,62,0.33,0.22,0.55,0.33,0.55,0.32,0.19,0.51,0.32,0.51"
"456,Jeremy Sarmiento,ec ECU,MF,Brighton,22,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"457,Ismaila Sarr,sn SEN,MF,Crystal Palace,26,1998,38,30,2711,30.1,8,6,14,8,0,0,4,0,10.7,10.7,8.5,19.2,75,85,183,0.27,0.20,0.46,0.27,0.46,0.35,0.28,0.64,0.35,0.64"
"458,SÃ¡vio,br BRA,""FW,MF"",Manchester City,20,2004,29,21,1766,19.6,1,8,9,1,0,0,3,0,5.0,5.0,6.9,11.9,137,67,246,0.05,0.41,0.46,0.05,0.46,0.26,0.35,0.61,0.26,0.61"
"459,Oliver Scarles,eng ENG,""DF,FW"",West Ham,18,2005,15,7,665,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,12,22,44,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03"
"460,Dane Scarlett,eng ENG,""FW,MF"",Tottenham,20,2004,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22"
"461,Kevin Schade,de GER,FW,Brentford,22,2001,38,26,2293,25.5,11,2,13,11,0,0,3,0,8.2,8.2,3.7,11.9,61,38,165,0.43,0.08,0.51,0.43,0.51,0.32,0.14,0.47,0.32,0.47"
"462,Fabian SchÃ¤r,ch SUI,DF,Newcastle Utd,32,1991,34,33,2934,32.6,4,0,4,4,0,0,9,1,3.7,3.7,0.4,4.1,18,118,22,0.12,0.00,0.12,0.12,0.12,0.11,0.01,0.13,0.11,0.13"
"463,Jeffrey Schlupp,gh GHA,""MF,DF"",Crystal Palace,31,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28"
"464,Alex Scott,eng ENG,MF,Bournemouth,20,2003,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.19,0.09,0.19"
"465,Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01"
"466,NÃ©lson Semedo,pt POR,DF,Wolves,30,1993,34,32,2886,32.1,0,4,4,0,0,0,8,0,0.9,0.9,2.8,3.7,67,80,119,0.00,0.12,0.12,0.00,0.12,0.03,0.09,0.12,0.03,0.12"
"467,Antoine Semenyo,gh GHA,FW,Bournemouth,24,2000,37,36,3203,35.6,11,5,16,11,0,0,9,0,10.0,10.0,5.8,15.8,140,109,282,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44"
"468,Marcos Senesi,ar ARG,DF,Bournemouth,27,1997,17,13,1106,12.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.1,12,62,7,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09"
"469,Ryan Sessegnon,eng ENG,""FW,DF"",Fulham,24,2000,16,7,580,6.4,4,2,6,4,0,0,1,0,1.6,1.6,1.1,2.7,18,22,59,0.62,0.31,0.93,0.62,0.93,0.25,0.17,0.42,0.25,0.42"
"470,Luke Shaw,eng ENG,DF,Manchester Utd,29,1995,7,4,349,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,7,24,7,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19"
"471,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"472,Bernardo Silva,pt POR,""MF,FW"",Manchester City,29,1994,33,29,2670,29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9.0,101,134,200,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.30,0.13,0.30"
"473,Jota Silva,pt POR,""FW,MF"",Nott'ham Forest,24,1999,31,5,854,9.5,3,1,4,3,0,0,5,0,2.1,2.1,2.9,5.0,21,18,59,0.32,0.11,0.42,0.32,0.42,0.22,0.30,0.53,0.22,0.53"
"474,Eric da Silva Moreira,de GER,""MF,DF"",Nott'ham Forest,18,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"475,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,18,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"476,Luis Sinisterra,co COL,""FW,MF"",Bournemouth,25,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00"
"477,Oliver Skipp,eng ENG,MF,Leicester City,23,2000,24,10,1129,12.5,0,0,0,0,0,0,8,0,0.4,0.4,0.3,0.6,16,35,19,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05"
"478,William Smallbone,ie IRL,MF,Southampton,24,2000,18,6,690,7.7,1,0,1,1,0,0,1,0,0.6,0.6,0.7,1.3,5,27,25,0.13,0.00,0.13,0.13,0.13,0.07,0.10,0.17,0.07,0.17"
